Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
21:00 09-05-2020,210.09,210.18,179.59,185.93,591262.61929,208.5015,1.4152999999999993,False,15.512402360714509,11.837455901233565,42.967226794070775,32.993048455715225,209.183,208.614,206.59819965846913,223.29336452379593,209.81857142857143,196.34377833334693
01:00 10-05-2020,185.92,191.16,183.28,190.73,202503.96368,208.0895,-2.066017857142864,False,18.461609160437156,10.838293056694592,39.34049678521465,37.67403843708386,207.11700000000002,208.28400000000002,203.71307244783839,224.88494985780156,208.29928571428573,191.7136215707699
05:00 10-05-2020,190.73,193.0,188.13,189.76,135490.32474,207.28400000000002,-4.854175000000013,False,20.74562771282687,12.271441256160683,37.24798408852009,37.12239215297402,204.80599999999998,207.86945454545454,201.17615018459503,225.52593237496717,206.64785714285716,187.76978191074716
09:00 10-05-2020,189.79,190.96,185.88,188.34,121129.68881,206.459,-7.711007142857158,False,23.046100207368475,11.579547690018767,37.645105466265136,36.30325413806504,202.509,207.38054545454546,198.84230469648685,226.14838149845053,205.14714285714285,184.14590421583517
13:00 10-05-2020,188.3,189.59,180.36,185.22,276506.40248,205.5205,-10.935742857142872,False,25.579449538694437,10.428989419995299,39.846938551894496,34.54049749517813,199.647,206.93363636363637,196.36552202439833,226.2847086043476,203.27714285714288,180.26957710993815
17:00 10-05-2020,185.32,190.76,184.5,187.54,146333.05575,204.5965,-13.260332142857159,False,27.634404207650338,10.98795587444511,37.150798251464494,36.93728352170488,197.325,206.53745454545452,194.7608816563259,225.44182482900692,201.57357142857146,177.705318028136
21:00 10-05-2020,187.62,191.04,187.54,188.46,93785.8564,203.37550000000002,-14.516035714285728,False,29.468434136288458,10.870990406208689,35.69650618845121,37.886615251818974,195.142,206.1090909090909,193.61526680972116,223.70899973932336,199.82999999999998,175.9510002606766
01:00 11-05-2020,188.45,189.0,185.4,187.31,83937.48481,202.14100000000002,-15.6972142857143,False,31.346374879306406,10.419200005958755,36.68345311130546,37.15074830495205,192.573,205.64290909090906,192.46885466249913,221.89770232458858,198.1157142857143,174.33372624684
05:00 11-05-2020,187.31,189.94,183.84,189.11,174236.67899,200.95250000000001,-16.06236071428573,False,33.21514438820937,9.684740443326286,35.90032075632249,39.09962566291242,190.247,205.24272727272728,191.85815381477198,218.8355119287223,196.34928571428574,173.8630594998492
09:00 11-05-2020,189.1,193.5,186.13,188.28,239462.70448,199.899,-16.610696428571444,False,33.95385020410582,12.92924571034236,32.884235581389646,38.51986185375561,188.068,204.8090909090909,191.20758039390432,216.06461751222906,194.7435714285714,173.42252534491377
13:00 11-05-2020,188.33,188.89,176.0,187.2,395973.93775,198.689,-16.702760714285724,False,35.50051466887869,11.162841313826855,39.1283294287817,37.75311266676448,188.195,204.34072727272726,190.47892941319444,212.8657409160475,193.0942857142857,173.32283051252386
17:00 11-05-2020,187.3,188.34,183.37,185.73,105903.15684,197.406,-16.74951785714287,False,36.93670310045349,10.563580017840014,37.02778058605581,36.70627605371387,187.695,203.8350909090909,189.61548770170452,207.82030652772085,191.14642857142854,174.47255061513624
21:00 11-05-2020,185.8,189.38,185.48,188.5,97414.45456,196.1875,-15.817464285714296,False,37.99477293316131,11.26241553627096,35.42086330326955,40.00596527918954,187.56900000000002,203.3732727272727,189.41267175594007,201.26064985777217,189.44142857142856,177.62220728508495
01:00 12-05-2020,188.57,189.42,186.81,188.07,114766.47301,195.0255,-14.835832142857154,False,38.966148043741136,10.967323744896952,34.34660135369056,39.668041903705124,187.542,202.83109090909093,189.1685496184964,190.83167905687174,187.86999999999998,184.90832094312822
05:00 12-05-2020,188.07,191.02,187.73,190.81,126692.27347,193.874,-12.835632142857149,False,39.409934287884916,12.456704836395167,32.98843538834066,42.90297612770957,188.101,202.41490909090908,189.46699514240612,191.3298124007472,188.21857142857144,185.1073304563957
09:00 12-05-2020,190.83,192.24,188.4,190.89,125788.85106,192.88049999999998,-10.90677857142858,False,39.47378696089066,13.371233779638732,31.426424502903068,42.99691216481761,188.436,201.994,189.72572329833224,191.379004374435,188.23,185.08099562556498
13:00 12-05-2020,190.91,192.22,189.21,189.5,101656.21568,191.84099999999998,-9.106267857142864,False,39.53307872868172,12.85731717447499,30.218565777288664,41.74093387556381,188.54000000000002,201.65563636363635,189.68468269863547,191.32701021188888,188.21142857142854,185.0958469309682
17:00 12-05-2020,189.53,190.36,186.77,189.76,103437.52789,190.679,-6.798753571428573,False,39.89626802125061,12.252454343677528,31.994392467220724,42.07409371514666,188.78500000000003,201.30927272727274,189.69837675342902,191.52939857027502,188.31285714285715,185.0963157154393
21:00 12-05-2020,189.77,191.49,189.27,190.85,72207.80944,189.603,-4.093932142857145,False,39.87417189200466,13.426498589277076,31.022481932292017,43.49992357502862,188.959,200.96363636363637,189.90776279826008,191.68238220013126,188.71499999999997,185.7476177998687
01:00 13-05-2020,190.83,190.98,189.71,189.79,63175.65458,188.589,-1.4999214285714206,True,39.853654057704844,13.179839026346388,30.452564780507153,42.43079052901863,189.10999999999999,200.71254545454542,189.8863513803946,191.81472008374277,188.87571428571428,185.9367084876858
05:00 13-05-2020,189.8,191.12,188.35,190.99,149181.58056,188.842,0.16637857142857726,True,40.0344301202561,12.634635524386727,31.223838935929738,44.06892006146259,189.48899999999998,200.56072727272723,190.08701476577738,192.17651654429125,189.05642857142857,185.9363405985659
09:00 13-05-2020,191.02,198.42,190.59,198.15,276221.62547,189.21300000000002,3.092046428571443,True,38.05472803455309,21.648721744216225,27.731698667566317,52.549191635783416,190.731,200.5338181818182,191.55301208109057,195.31633426065326,189.8307142857143,184.34509431077532
13:00 13-05-2020,198.14,199.24,195.38,196.78,97708.7474,189.564,5.317278571428584,True,36.01660504742603,21.62601091622814,26.177374182334802,50.99199833380754,191.559,200.36618181818181,192.50337352089227,196.900910433967,190.3785714285714,183.8562324231758
17:00 13-05-2020,196.79,201.0,196.55,199.58,147647.58959,190.126,7.5261464285714474,False,33.69819352816012,22.792162834496207,24.474302494808416,53.92908768472219,192.70999999999998,200.2914545454545,193.79003288073002,199.11458995422106,191.18571428571428,183.2568386172075
21:00 13-05-2020,199.61,200.9,196.62,199.12,86640.89773,190.821,8.97416785714287,False,31.54538283169891,21.353235137600503,22.929177006819074,53.37590117581282,193.541,200.15763636363636,194.75911781150637,200.6054013173048,192.0371428571428,183.46888439698083
01:00 14-05-2020,199.11,200.82,195.67,199.8,147480.06018,191.434,10.3976142857143,False,29.77336601270924,19.738450416428094,22.590193537572326,54.10840373528254,194.432,200.044,195.67564184577793,201.7154884901004,193.04214285714286,184.36879722418533
05:00 14-05-2020,199.8,206.02,198.67,202.54,351063.82515,192.13799999999998,11.846792857142885,False,28.405649513647607,25.049940181049692,20.237950111344997,56.97543995067426,195.736,199.93654545454547,196.9237069647274,203.58876909561474,194.04500000000002,184.5012309043853
09:00 14-05-2020,202.53,203.19,200.7,202.44,116217.23609,192.8945,12.821825000000018,False,27.135627050233232,24.133143772362224,19.497266507025916,56.839021711054805,197.004,199.91963636363636,197.92666933477693,204.9103886116409,195.07142857142858,185.23246853121626
13:00 14-05-2020,202.45,204.65,196.21,203.47,306110.38429,193.6125,13.868314285714305,False,25.545280163976617,21.289013236357096,23.469077163773175,57.93111410844348,198.26600000000002,199.91654545454546,198.93454763754477,206.39199196996285,195.97571428571428,185.5594366014657
17:00 14-05-2020,203.46,205.2,202.03,203.29,107187.84593,194.363,14.478896428571447,False,23.932621954130646,21.10979465689986,22.40123025690045,57.66271881570337,199.616,199.9,199.7264480670821,207.50362720779194,196.8614285714286,186.21922993506527
21:00 14-05-2020,203.29,204.08,197.21,199.41,185370.3983,194.9735,13.713425000000012,False,23.448434100047027,19.08328669549125,26.98601019758534,52.177637842755615,200.458,199.7930909090909,199.66891205488534,207.4498162492607,197.56928571428574,187.6887551793108
01:00 15-05-2020,199.42,201.88,198.42,201.23,144260.96585,195.7485,12.826457142857148,False,22.998831092683666,18.138839154235345,25.6504503757315,54.323004441188914,200.766,199.69200000000004,199.95274622672437,207.40769034904145,198.38857142857142,189.3694525081014
