Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
21:00 13-10-2021,148.05,150.99,147.27,149.65,406284.05,146.975,1.2521464285714323,True,20.32658390961966,17.833957505984905,18.945644996620782,48.634491900863,147.648,154.38818181818178,147.4785030464822,152.27086656887198,146.44785714285715,140.6248477168423
01:00 14-10-2021,149.65,152.0,148.48,150.36,467225.34,147.1155,2.2437107142857204,True,18.956164989976696,18.39013403389328,17.975306531342884,49.45248541081069,148.32999999999998,154.08745454545453,148.0024115834854,152.91659060123905,146.84714285714287,140.7776951130467
05:00 14-10-2021,150.36,154.21,149.91,153.88,487621.09,147.23600000000002,4.0981321428571444,True,18.297599576318174,20.473608834402807,16.84060407863458,53.33101685943985,148.714,153.8649090909091,149.0710640228517,154.30639135227347,147.60999999999999,140.9136086477265
09:00 14-10-2021,153.87,155.65,152.22,152.81,591595.58,147.26000000000002,5.658807142857144,True,18.056819686448083,21.579977958415764,15.974361466444156,52.05301665492246,148.763,153.58254545454548,149.75087056415137,155.03108307102477,148.28785714285712,141.54463121468947
13:00 14-10-2021,152.83,153.53,148.56,150.07,505712.3,147.3365,6.1885750000000055,True,16.817215406500985,19.97655046241955,20.259149833343614,48.8946975815954,148.842,153.35927272727272,149.80889409794202,154.79831350073064,148.82857142857142,142.8588293564122
17:00 14-10-2021,150.06,151.49,148.9,150.02,196162.25,147.4495,6.485046428571433,True,15.66615428940725,19.176891870014646,19.448178826636113,48.837777982564155,149.301,153.14509090909092,149.84727698922526,154.50634047120144,149.29142857142855,144.07651667165567
21:00 14-10-2021,150.01,151.41,146.68,150.85,452261.35,147.913,6.257989285714289,True,15.216590109618528,17.77731624639354,21.45419370213005,49.857750255800624,149.7,152.89472727272727,150.0295902639116,154.613870702866,149.3492857142857,144.08470072570543
01:00 15-10-2021,150.85,163.64,150.8,161.57,1884919.83,148.753,7.752014285714293,False,16.126116260436643,31.399990853098934,17.68168417123007,60.55019310295885,151.226,152.96036363636364,152.12784657956402,158.14132566945887,150.01000000000002,141.87867433054117
05:00 15-10-2021,161.6,165.75,157.02,157.82,1193741.63,149.484,8.087182142857145,False,17.277514687398583,30.575245842360783,15.664816669402127,56.14187512841758,152.507,152.9947272727273,153.16278356509784,159.6701523270495,150.61999999999998,141.56984767295046
09:00 15-10-2021,157.82,163.11,157.02,159.36,619125.18,150.286,8.501321428571435,False,18.346670369577527,28.161982603443136,14.42841365215222,57.48005926938371,153.63899999999998,153.112,154.2895501896255,161.21052797623975,151.615,142.01947202376027
13:00 15-10-2021,159.35,162.94,158.7,160.4,633307.12,151.18099999999998,8.752489285714294,False,19.33945778874369,26.588500415748268,13.622261180643367,58.3827280869609,154.714,153.10545454545456,155.40054106423904,162.77640785151354,152.58214285714286,142.38787786277217
17:00 15-10-2021,160.39,164.3,159.14,163.18,605256.96,152.163,9.166546428571438,False,20.48297933674446,26.572677093414704,12.692813331888642,60.72857823217659,155.996,153.16727272727275,156.8149881434683,164.69424520527335,153.78714285714287,142.8800405090124
21:00 15-10-2021,163.15,163.5,158.19,158.79,336690.29,152.6005,9.108310714285722,False,21.22283329277648,24.704646556068692,13.058224228539355,55.525994021278485,156.487,153.25672727272726,157.17408120829225,164.78290728949955,154.77142857142857,144.7599498533576
01:00 16-10-2021,158.78,159.71,157.51,158.29,286464.4,152.899,9.150639285714291,False,21.675908739019263,23.953322547188755,13.601109336649465,54.96149084700143,157.035,153.37054545454546,157.3769755340573,164.92039105287523,155.50357142857143,146.08675180426764
05:00 16-10-2021,158.29,164.8,157.94,162.14,541147.0,153.542,9.548939285714283,False,22.96530033810089,28.60913919586571,12.340797627951583,58.39021566580122,158.24200000000002,153.43727272727273,158.2429799824105,165.7918037892855,156.3957142857143,146.9996247821431
09:00 16-10-2021,162.14,162.98,158.71,159.55,423940.12,154.248,8.93979285714286,False,24.16259253724811,26.93602498461939,11.61908545940006,55.40345187180167,159.195,153.4709090909091,158.48061998560857,165.94017390559807,157.05214285714285,148.16411180868764
13:00 16-10-2021,159.55,160.12,158.0,158.19,212423.8,154.8145,8.076550000000005,False,25.010446006872947,26.1193015339438,12.282247566634615,53.880084648410815,159.929,153.51290909090906,158.42777998822518,166.08427156189273,157.35999999999999,148.63572843810724
17:00 16-10-2021,158.19,158.85,156.36,157.54,184575.98,155.376,6.9277892857142875,False,25.198039721200196,25.154569759605057,14.261300953964692,53.14492706497748,159.526,153.53963636363636,158.26636544491151,166.04953850846186,157.69785714285715,149.34617577725243
21:00 16-10-2021,157.54,163.02,156.66,162.96,282379.29,156.2735,6.604799999999999,False,26.119490068414795,28.88165006026833,12.946005655150053,58.156174830752754,160.04000000000002,153.69781818181818,159.1197535458367,166.21114244857594,158.6185714285714,151.0260004085669
01:00 17-10-2021,162.96,165.0,160.67,162.16,695432.23,156.9795,6.164717857142855,False,27.279486680341172,29.94862713294864,12.12603483331671,57.205581512603395,160.32,153.83818181818182,159.67252562841185,165.5765538444735,159.48571428571427,153.39487472695504
05:00 17-10-2021,162.16,167.65,162.11,163.54,657306.74,157.674,5.935957142857134,False,28.728248431361834,31.38420858251174,11.152726977768657,58.43911020244419,160.634,153.9249090909091,160.3757027868824,164.53954258344473,160.39214285714283,156.24474313084093
09:00 17-10-2021,163.54,165.49,160.01,160.77,457180.36,158.1945,5.161974999999991,False,29.31968819278583,28.912105300425033,13.292758380980487,55.084306678858496,160.39299999999997,153.89854545454546,160.44739318926742,164.4377151288512,160.335,156.2322848711488
13:00 17-10-2021,160.75,161.75,158.2,158.83,369491.28,158.442,4.356692857142846,False,29.2596534615253,27.406071581904083,15.256197742392564,52.84770827637643,160.397,153.75945454545453,160.1533217003097,164.3633273723419,160.40714285714287,156.45095834194385
17:00 17-10-2021,158.83,160.15,153.13,160.12,608632.23,158.80749999999998,3.7314928571428516,False,27.752998528987483,24.669488908421695,20.944434931104013,54.150745366167065,160.57999999999998,153.69672727272726,160.14726320934432,164.3793205493873,160.46142857142857,156.54353659346984
21:00 17-10-2021,160.11,162.98,159.06,159.92,390300.89,159.3,2.7988964285714184,True,26.92326320402214,27.36156051908736,19.75801422607427,53.90762527319492,160.358,153.71599999999998,160.10594262582714,164.35497343663042,160.42714285714285,156.4993122776553
01:00 18-10-2021,159.92,161.48,158.6,158.87,244564.39,159.7425,1.6395499999999892,True,26.02865281987829,26.187849944765347,19.595617636742137,52.60248153242927,160.29000000000002,153.6950909090909,159.88122578476765,163.80389047529215,160.11928571428572,156.4346809532793
