
____________________________________________________________________________________________________________________________________
| ID  ||                       COMPRA                       ||                       VENTA                        ||   RESULTADO   |
|     ||     Monto      ||     Precio     ||  Fecha y Hora  ||     Monto      ||     Precio     ||  Fecha y Hora  ||               |
------------------------------------------------------------------------------------------------------------------------------------
| 56  ||     91.71      ||    46448.48    ||13:20 01-04-2022||     91.11      ||    46236.99    ||13:50 01-04-2022|| -0.60 ||-0.65% |
| 57  ||     91.11      ||    46092.32    ||14:00 01-04-2022||     91.82      ||    46546.42    ||15:00 01-04-2022|| 0.71  || 0.78% |
| 58  ||     91.82      ||    46381.49    ||15:30 01-04-2022||     91.28      ||    46198.27    ||16:15 01-04-2022|| -0.55 ||-0.59% |
| 59  ||     91.28      ||    46192.50    ||16:20 01-04-2022||     91.72      ||    46509.56    ||21:45 01-04-2022|| 0.44  || 0.49% |
| 60  ||     91.72      ||    46622.38    ||22:35 01-04-2022||     91.09      ||    46393.08    ||23:40 01-04-2022|| -0.63 ||-0.69% |
| 61  ||     91.09      ||    46452.64    ||23:45 01-04-2022||     91.71      ||    46862.87    ||10:20 02-04-2022|| 0.62  || 0.68% |
| 62  ||     91.71      ||    46740.01    ||11:00 02-04-2022||     91.27      ||    46612.06    ||11:35 02-04-2022|| -0.43 ||-0.47% |
| 63  ||     91.27      ||    46623.00    ||11:40 02-04-2022||     90.87      ||    46511.14    ||12:05 02-04-2022|| -0.40 ||-0.44% |
| 64  ||     90.87      ||    46363.09    ||04:10 03-04-2022||     90.50      ||    46263.89    ||05:45 03-04-2022|| -0.38 ||-0.41% |
| 65  ||     90.50      ||    46271.68    ||05:55 03-04-2022||     90.16      ||    46189.89    ||06:05 03-04-2022|| -0.34 ||-0.38% |
| 66  ||     90.16      ||    46376.85    ||11:40 03-04-2022||     90.33      ||    46560.61    ||11:55 03-04-2022|| 0.18  || 0.20% |
| 67  ||     90.33      ||    46431.95    ||12:45 03-04-2022||     89.92      ||    46312.22    ||13:20 03-04-2022|| -0.41 ||-0.46% |
| 68  ||     89.92      ||    46311.00    ||13:25 03-04-2022||     90.24      ||    46567.12    ||15:50 03-04-2022|| 0.32  || 0.35% |
| 69  ||     90.24      ||    46393.70    ||18:00 03-04-2022||     90.39      ||    46566.78    ||18:15 03-04-2022|| 0.16  || 0.17% |
| 70  ||     90.39      ||    46969.01    ||19:50 03-04-2022||     89.69      ||    46700.24    ||19:55 03-04-2022|| -0.70 ||-0.77% |
| 71  ||     89.69      ||    46529.49    ||20:05 03-04-2022||     88.94      ||    46233.01    ||21:20 03-04-2022|| -0.75 ||-0.84% |
| 72  ||     88.94      ||    46403.19    ||19:20 04-04-2022||     89.36      ||    46714.19    ||19:45 04-04-2022|| 0.42  || 0.47% |
| 73  ||     89.36      ||    46494.16    ||21:40 04-04-2022||     89.72      ||    46772.76    ||01:35 05-04-2022|| 0.36  || 0.40% |
| 74  ||     89.72      ||    46724.99    ||03:00 05-04-2022||     89.40      ||    46651.90    ||03:40 05-04-2022|| -0.32 ||-0.36% |
| 75  ||     89.40      ||    46659.99    ||04:00 05-04-2022||     89.09      ||    46593.40    ||04:10 05-04-2022|| -0.31 ||-0.34% |
| 76  ||     89.09      ||    46614.91    ||05:35 05-04-2022||     89.15      ||    46738.65    ||09:00 05-04-2022|| 0.06  || 0.07% |
| 77  ||     89.15      ||    43552.27    ||14:50 07-04-2022||     88.69      ||    43415.43    ||16:50 07-04-2022|| -0.46 ||-0.51% |
| 78  ||     88.69      ||    43605.96    ||00:55 08-04-2022||     88.37      ||    43536.92    ||01:40 08-04-2022|| -0.32 ||-0.36% |
| 79  ||     88.37      ||    43782.08    ||05:40 08-04-2022||     87.96      ||    43664.96    ||06:30 08-04-2022|| -0.41 ||-0.47% |
| 80  ||     87.96      ||    43611.73    ||06:45 08-04-2022||     87.56      ||    43498.04    ||08:00 08-04-2022|| -0.40 ||-0.46% |
| 81  ||     87.56      ||    42543.42    ||19:55 09-04-2022||     87.61      ||    42655.52    ||20:30 09-04-2022|| 0.06  || 0.06% |
| 82  ||     87.61      ||    42654.80    ||22:10 09-04-2022||     87.75      ||    42805.49    ||23:50 09-04-2022|| 0.13  || 0.15% |
| 83  ||     87.75      ||    42781.37    ||00:35 10-04-2022||     87.46      ||    42726.88    ||01:45 10-04-2022|| -0.29 ||-0.33% |
| 84  ||     87.46      ||    42741.42    ||01:50 10-04-2022||     87.20      ||    42700.91    ||02:25 10-04-2022|| -0.26 ||-0.29% |
| 85  ||     87.20      ||    42649.27    ||09:30 10-04-2022||     86.84      ||    42557.67    ||10:00 10-04-2022|| -0.36 ||-0.41% |
| 86  ||     86.84      ||    42701.39    ||13:10 10-04-2022||     86.93      ||    42831.28    ||14:00 10-04-2022|| 0.09  || 0.10% |
| 87  ||     86.93      ||    43123.81    ||16:05 10-04-2022||     87.16      ||    43321.96    ||17:00 10-04-2022|| 0.22  || 0.26% |
| 88  ||     87.16      ||    43129.05    ||18:00 10-04-2022||     86.79      ||    43034.21    ||18:50 10-04-2022|| -0.37 ||-0.42% |
| 89  ||     86.79      ||    40144.75    ||08:10 12-04-2022||     87.01      ||    40324.81    ||08:30 12-04-2022|| 0.22  || 0.25% |
| 90  ||     87.01      ||    40315.72    ||09:25 12-04-2022||     87.35      ||    40557.75    ||09:30 12-04-2022|| 0.35  || 0.40% |
| 91  ||     87.35      ||    40510.45    ||10:20 12-04-2022||     86.80      ||    40333.56    ||10:35 12-04-2022|| -0.56 ||-0.64% |
| 92  ||     86.80      ||    40360.56    ||10:40 12-04-2022||     86.19      ||    40156.47    ||11:15 12-04-2022|| -0.61 ||-0.70% |
| 93  ||     86.19      ||    40019.85    ||01:15 13-04-2022||     85.78      ||    39911.67    ||07:25 13-04-2022|| -0.40 ||-0.47% |
| 94  ||     85.78      ||    41133.34    ||13:40 13-04-2022||     85.18      ||    40928.17    ||14:35 13-04-2022|| -0.60 ||-0.70% |
| 95  ||     85.18      ||    40988.04    ||14:45 13-04-2022||     85.85      ||    41393.92    ||22:50 13-04-2022|| 0.67  || 0.79% |
| 96  ||     85.85      ||    41400.00    ||23:20 13-04-2022||     85.49      ||    41306.32    ||00:25 14-04-2022|| -0.37 ||-0.43% |
| 97  ||     85.49      ||    41305.75    ||00:35 14-04-2022||     85.14      ||    41221.85    ||03:10 14-04-2022|| -0.34 ||-0.40% |
